"","Dept","obl_type","obl"
"2261","Dept_T","Travel",13
"2262","Dept_T","Travel",2135.03
"2263","Dept_T","Travel",58.89
"2264","Dept_T","Travel",129.5
"2265","Dept_T","Travel",1688.6
"2266","Dept_T","Travel",12
"2267","Dept_T","Travel",129.5
"2268","Dept_T","Travel",4716.62
"2269","Dept_T","Travel",88.5
"2270","Dept_T","Travel",2118.02
"2271","Dept_T","Travel",2874.33
"2272","Dept_T","Travel",2374.3
"2273","Dept_T","Travel",1044.78
"2274","Dept_T","Travel",4801.7
"2275","Dept_T","Travel",355.08
"2276","Dept_T","Travel",199.5
"2277","Dept_T","Travel",610
"2278","Dept_T","Travel",1129
"2279","Dept_T","Travel",129.5
"2280","Dept_T","Travel",1576.9
"2281","Dept_T","Travel",51.5
"2282","Dept_T","Travel",129.5
"2283","Dept_T","Travel",129.5
"2284","Dept_T","Travel",57.23
"2285","Dept_T","Travel",31.84
"2286","Dept_T","Travel",43.06
"2287","Dept_T","Travel",30.21
"2288","Dept_T","Travel",5051.59
"2289","Dept_T","Travel",88.5
"2290","Dept_T","Travel",3293.96
"2291","Dept_T","Travel",2481
"2292","Dept_T","Travel",400.72
"2293","Dept_T","Travel",1073
"2294","Dept_T","Travel",861.5
"2295","Dept_T","Travel",1981
"2296","Dept_T","Travel",3141.23
"2297","Dept_T","Travel",1688.5
"2298","Dept_T","Travel",58.5
"2299","Dept_T","Travel",3347.99
"2300","Dept_T","Travel",129.5
"2301","Dept_T","Travel",1662.44
"2302","Dept_T","Travel",2742.84
"2303","Dept_T","Travel",129.5
"2304","Dept_T","Travel",1693
"2305","Dept_T","Travel",296.05
"2306","Dept_T","Travel",439.1
"2307","Dept_T","Travel",199.5
"2308","Dept_T","Travel",275.5
"2309","Dept_T","Travel",340.12
"2310","Dept_T","Travel",2326.7
"2311","Dept_T","Travel",417.55
"2312","Dept_T","Travel",355.35
"2313","Dept_T","Travel",406.5
"2314","Dept_T","Travel",406.5
"2315","Dept_T","Travel",305.25
"2316","Dept_T","Travel",322.16
"2317","Dept_T","Travel",406.5
"2318","Dept_T","Travel",386.23
"2319","Dept_T","Travel",466.5
"2320","Dept_T","Travel",434.5
"2321","Dept_T","Travel",434.5
"2322","Dept_T","Travel",305.25
"2323","Dept_T","Travel",398.67
"2324","Dept_T","Travel",409.18
"2325","Dept_P","Travel",355.5
"2326","Dept_P","Travel",1454.25
"2327","Dept_P","Travel",192.99
"2328","Dept_P","Travel",501.5
"2329","Dept_P","Travel",355.5
"2330","Dept_P","Travel",5577.98
"2331","Dept_P","Travel",2883.91
"2332","Dept_P","Travel",1547.25
"2333","Dept_P","Travel",355.5
"2334","Dept_P","Travel",383.5
"2335","Dept_P","Travel",355.5
"2336","Dept_P","Travel",355.5
"2337","Dept_P","Travel",1454.25
"2338","Dept_P","Travel",1258
"2339","Dept_P","Travel",355.5
"2340","Dept_P","Travel",2674.5
"2341","Dept_P","Travel",1454.25
"2342","Dept_P","Travel",355.5
"2343","Dept_P","Travel",383.5
"2344","Dept_P","Travel",1547.25
"2345","Dept_P","Travel",197.5
"2346","Dept_P","Travel",355.5
"2347","Dept_P","Travel",1547.25
"2348","Dept_P","Travel",355.5
"2349","Dept_P","Travel",355.5
"2350","Dept_P","Travel",1454.25
"2351","Dept_P","Travel",475.5
"2352","Dept_P","Travel",383.5
"2353","Dept_P","Travel",355.5
"2354","Dept_P","Travel",1454.25
"2355","Dept_P","Travel",355.5
"2356","Dept_P","Travel",868.69
"2357","Dept_P","Travel",1454.25
"2358","Dept_P","Travel",355.5
"2359","Dept_P","Travel",383.5
"2360","Dept_P","Travel",355.5
"2361","Dept_P","Travel",1454.25
"2362","Dept_P","Travel",1547.25
"2363","Dept_P","Travel",355.5
"2364","Dept_P","Travel",355.5
"2365","Dept_P","Travel",1547.25
"2366","Dept_P","Travel",1454.25
"2367","Dept_P","Travel",355.5
"2368","Dept_P","Travel",1454.25
"2369","Dept_P","Travel",355.5
"2370","Dept_P","Travel",355.5
"2371","Dept_P","Travel",1454.25
"2372","Dept_P","Travel",355.5
"2373","Dept_P","Travel",1454.25
"2374","Dept_P","Travel",355.5
"2375","Dept_P","Travel",383.5
"2376","Dept_P","Travel",1454.25
"2377","Dept_P","Travel",355.5
"2378","Dept_P","Travel",1454.25
"2379","Dept_P","Travel",355.5
"2380","Dept_P","Travel",355.5
"2381","Dept_P","Travel",1547.25
"2382","Dept_P","Travel",2709.19
"2383","Dept_P","Travel",138.25
"2384","Dept_P","Travel",1547.25
"2385","Dept_P","Travel",355.5
"2386","Dept_P","Travel",1547.25
"2387","Dept_P","Travel",355.5
"2388","Dept_P","Travel",1258
"2389","Dept_P","Travel",355.5
"2390","Dept_P","Travel",1547.25
"2391","Dept_P","Travel",355.5
"2392","Dept_P","Travel",355.5
"2393","Dept_P","Travel",1454.25
"2394","Dept_P","Travel",1258
"2395","Dept_P","Travel",355.5
"2396","Dept_P","Travel",355.5
"2397","Dept_P","Travel",1454.25
"2398","Dept_P","Travel",383.5
"2399","Dept_P","Travel",355.5
"2400","Dept_P","Travel",1454.25
"2401","Dept_P","Travel",586.2
"2402","Dept_P","Travel",769.22
"2403","Dept_P","Travel",494.25
"2404","Dept_P","Travel",355.5
"2405","Dept_P","Travel",383.5
"2406","Dept_P","Travel",1846.33
"2407","Dept_P","Travel",355.5
"2408","Dept_P","Travel",355.5
"2409","Dept_P","Travel",1454.25
"2410","Dept_P","Travel",382.42
"2411","Dept_P","Travel",309.86
"2412","Dept_P","Travel",2874.23
"2413","Dept_P","Travel",6506.67
"2414","Dept_P","Travel",355.5
"2415","Dept_P","Travel",510.5
"2416","Dept_P","Travel",6603.78
"2417","Dept_P","Travel",3549.85
"2418","Dept_P","Travel",355.5
"2419","Dept_P","Travel",355.5
"2420","Dept_P","Travel",477.5
"2421","Dept_P","Travel",1454.25
"2422","Dept_P","Travel",355.5
"2423","Dept_P","Travel",355.5
"2424","Dept_P","Travel",1454.25
"2425","Dept_P","Travel",355.5
"2426","Dept_P","Travel",355.5
"2427","Dept_P","Travel",1989.72
"2428","Dept_P","Travel",197.5
"2429","Dept_P","Travel",355.5
"2430","Dept_P","Travel",1258
"2431","Dept_P","Travel",355.5
"2432","Dept_P","Travel",383.5
"2433","Dept_P","Travel",1454.25
"2434","Dept_P","Travel",355.5
"2435","Dept_P","Travel",383.5
"2436","Dept_P","Travel",1454.25
"2437","Dept_P","Travel",355.5
"2438","Dept_P","Travel",383.5
"2439","Dept_P","Travel",1454.25
"2440","Dept_P","Travel",355.5
"2441","Dept_P","Travel",1454.25
"2442","Dept_P","Travel",355.5
"2443","Dept_P","Travel",1727.85
"2444","Dept_P","Travel",4818.14
"2445","Dept_P","Travel",2849.4
"2446","Dept_P","Travel",355.5
"2447","Dept_P","Travel",1547.25
"2448","Dept_P","Travel",355.5
"2449","Dept_P","Travel",1547.25
"2450","Dept_P","Travel",355.5
"2451","Dept_P","Travel",1454.25
"2452","Dept_P","Travel",355.5
"2453","Dept_P","Travel",1454.25
"2454","Dept_P","Travel",355.5
"2455","Dept_P","Travel",772.77
"2456","Dept_P","Travel",414.26
"2457","Dept_P","Travel",259.7
"2458","Dept_P","Travel",245.04
"2459","Dept_P","Travel",666.2
"2460","Dept_P","Travel",297.14
"2461","Dept_P","Travel",610.49
"2462","Dept_P","Travel",2961.51
"2463","Dept_P","Travel",1268.96
"2464","Dept_P","Travel",780.58
"2465","Dept_P","Travel",463.09
"2466","Dept_P","Travel",1561.38
"2467","Dept_P","Travel",1649.96
"2468","Dept_P","Travel",744.55
"2469","Dept_P","Travel",802.92
"2470","Dept_P","Travel",438.28
"2471","Dept_P","Travel",417.65
"2472","Dept_P","Travel",867.98
"2473","Dept_P","Travel",700.98
"2474","Dept_P","Travel",780.58
"2475","Dept_P","Travel",385.07
"2476","Dept_P","Travel",2018.88
"2477","Dept_P","Travel",802.92
"2478","Dept_P","Travel",715.84
"2479","Dept_P","Travel",360.8
"2480","Dept_P","Travel",1170.21
"2481","Dept_P","Travel",444.01
"2482","Dept_P","Travel",352.12
"2483","Dept_P","Travel",254.46
"2484","Dept_P","Travel",730.64
"2485","Dept_P","Travel",887.72
"2486","Dept_P","Travel",899.3
"2487","Dept_P","Travel",426.42
"2488","Dept_P","Travel",923.42
"2489","Dept_P","Travel",831.5
"2490","Dept_P","Travel",826.61
"2491","Dept_P","Travel",2971.16
"2492","Dept_P","Travel",474.31
"2493","Dept_P","Travel",2038.3
"2494","Dept_P","Travel",696.27
"2495","Dept_P","Travel",1656.13
"2496","Dept_P","Travel",2073.06
"2497","Dept_P","Travel",59.25
"2498","Dept_P","Travel",1508.8
"2499","Dept_P","Travel",1101.2
"2500","Dept_P","Travel",490.56
"2501","Dept_P","Travel",391.85
"2502","Dept_P","Travel",461.21
"2503","Dept_P","Travel",1061.63
"2504","Dept_P","Travel",1541.82
"2505","Dept_P","Travel",387.5
"2506","Dept_P","Travel",1110.14
"2507","Dept_P","Travel",645.84
"2508","Dept_P","Travel",402.2
"2509","Dept_P","Travel",720.5
"2510","Dept_P","Travel",647.92
"2511","Dept_P","Travel",113.44
"2512","Dept_P","Travel",414.26
"2513","Dept_P","Travel",1405.36
"2514","Dept_P","Travel",2061.69
"2515","Dept_P","Travel",334.42
"2516","Dept_P","Travel",355.25
"2517","Dept_P","Travel",1713.6
"2518","Dept_P","Travel",891.86
"2519","Dept_P","Travel",482.43
"2520","Dept_P","Travel",3935.44
"2521","Dept_P","Travel",991.18
"2522","Dept_P","Travel",1352.22
"2523","Dept_P","Travel",1306.22
"2524","Dept_P","Travel",328.72
"2525","Dept_P","Travel",296.2
"2526","Dept_P","Travel",391.5
"2527","Dept_P","Travel",551.48
"2528","Dept_P","Travel",454.53
"2529","Dept_P","Travel",720.94
"2530","Dept_P","Travel",111
"2531","Dept_P","Travel",1111.41
"2532","Dept_P","Travel",1977.58
"2533","Dept_P","Travel",863.62
"2534","Dept_P","Travel",1831.38
"2535","Dept_P","Travel",504.35
"2536","Dept_P","Travel",375.78
"2537","Dept_P","Travel",375.78
"2538","Dept_P","Travel",549.12
"2539","Dept_P","Travel",1707.98
"2540","Dept_P","Travel",852.3
"2541","Dept_P","Travel",2595.16
"2542","Dept_P","Travel",675.08
"2543","Dept_P","Travel",1749.2
"2544","Dept_P","Travel",1222.7
"2545","Dept_P","Travel",1522.21
"2546","Dept_P","Travel",1489.62
"2547","Dept_K","Travel",344.57
"2548","Dept_K","Travel",682.7
"2549","Dept_K","Travel",688.99
"2550","Dept_K","Travel",328.72
"2551","Dept_K","Travel",526.14
"2552","Dept_K","Travel",637.01
"2553","Dept_K","Travel",1030.88
"2554","Dept_K","Travel",1119.46
"2555","Dept_K","Travel",2.5
"2556","Dept_K","Travel",596.7
"2557","Dept_K","Travel",2698.06
"2558","Dept_K","Travel",735.86
"2559","Dept_K","Travel",135
"2560","Dept_K","Travel",952.56
"2561","Dept_K","Travel",206.5
"2562","Dept_K","Travel",1788.02
"2563","Dept_K","Travel",162
"2564","Dept_K","Travel",564.57
"2565","Dept_K","Travel",241.5
"2566","Dept_K","Travel",220
"2567","Dept_K","Travel",8620.5
"2568","Dept_K","Travel",182.82
"2569","Dept_K","Travel",636.24
"2570","Dept_K","Travel",791.04
"2571","Dept_K","Travel",1443.3
"2572","Dept_K","Travel",303.8
"2573","Dept_K","Travel",1050.41
"2574","Dept_K","Travel",287.16
"2575","Dept_K","Travel",1083.5
"2576","Dept_K","Travel",3577.61
"2577","Dept_K","Travel",3333.3
"2578","Dept_K","Travel",5757.72
"2579","Dept_K","Travel",887.16
"2580","Dept_K","Travel",0.01
"2581","Dept_K","Travel",897.61
"2582","Dept_K","Travel",5248.53
"2583","Dept_K","Travel",3707.26
"2584","Dept_K","Travel",4311.46
"2585","Dept_K","Travel",5472.31
"2586","Dept_K","Travel",3929.36
"2587","Dept_K","Travel",5920.69
"2588","Dept_K","Travel",2942.48
"2589","Dept_K","Travel",4117.7
"2590","Dept_K","Travel",4692.58
"2591","Dept_K","Travel",3165.07
"2592","Dept_K","Travel",4024.25
"2593","Dept_K","Travel",2963.69
"2594","Dept_K","Travel",3890.88
"2595","Dept_K","Travel",3755.75
"2596","Dept_K","Travel",3134.25
"2597","Dept_K","Travel",3127.06
"2598","Dept_K","Travel",3566.3
"2599","Dept_K","Travel",3728.36
"2600","Dept_K","Travel",4190.97
"2601","Dept_K","Travel",3780.54
"2602","Dept_K","Travel",8663.96
"2603","Dept_K","Travel",3655.93
"2604","Dept_K","Travel",4265.72
"2605","Dept_K","Travel",3940.85
"2606","Dept_K","Travel",2318.57
"2607","Dept_K","Travel",1806.4
"2608","Dept_K","Travel",4668.76
"2609","Dept_K","Travel",3789.82
"2610","Dept_K","Travel",4030.4
"2611","Dept_K","Travel",5859.46
"2612","Dept_K","Travel",2773.31
"2613","Dept_K","Travel",3497.16
"2614","Dept_K","Travel",1756.12
"2615","Dept_K","Travel",871.84
"2616","Dept_K","Travel",4087.8
"2617","Dept_K","Travel",4004.13
"2618","Dept_K","Travel",2940.9
"2619","Dept_K","Travel",3875.77
"2620","Dept_K","Travel",4711.72
"2621","Dept_K","Travel",9.3
"2622","Dept_K","Travel",1169.02
"2623","Dept_K","Travel",4125.25
"2624","Dept_K","Travel",2647.55
"2625","Dept_K","Travel",4195.15
"2626","Dept_K","Travel",4516.87
"2627","Dept_K","Travel",3583.69
"2628","Dept_K","Travel",3791.77
"2629","Dept_K","Travel",3040.26
"2630","Dept_K","Travel",3688.06
"2631","Dept_K","Travel",3762.94
"2632","Dept_K","Travel",3642.69
"2633","Dept_K","Travel",4025.79
"2634","Dept_K","Travel",3519.4
"2635","Dept_K","Travel",2933.38
"2636","Dept_K","Travel",3138.79
"2637","Dept_K","Travel",3233.51
"2638","Dept_K","Travel",3537.49
"2639","Dept_K","Travel",3308.01
"2640","Dept_K","Travel",1854.7
"2641","Dept_K","Travel",5538.63
"2642","Dept_K","Travel",8034.2
"2643","Dept_K","Travel",956.9
"2644","Dept_K","Travel",989.2
"2645","Dept_K","Travel",0.01
"2646","Dept_K","Travel",3577.06
"2647","Dept_K","Travel",3639.83
"2648","Dept_K","Travel",2757.27
"2649","Dept_K","Travel",3225.35
"2650","Dept_K","Travel",3621.19
"2651","Dept_K","Travel",3616.86
"2652","Dept_K","Travel",5191.54
"2653","Dept_K","Travel",3526.1
"2654","Dept_K","Travel",7.5
"2655","Dept_K","Travel",873.7
"2656","Dept_K","Travel",5295.12
"2657","Dept_K","Travel",2184.37
"2658","Dept_K","Travel",3087.59
"2659","Dept_K","Travel",4016.99
"2660","Dept_K","Travel",3533.78
"2661","Dept_K","Travel",2648.7
"2662","Dept_K","Travel",3164.32
"2663","Dept_K","Travel",4163.07
"2664","Dept_K","Travel",3498.7
"2665","Dept_K","Travel",3399.75
"2666","Dept_K","Travel",3497.58
"2667","Dept_K","Travel",5430.7
"2668","Dept_K","Travel",1855.26
"2669","Dept_K","Travel",3857.58
"2670","Dept_K","Travel",5058.56
"2671","Dept_K","Travel",7031.28
"2672","Dept_K","Travel",2844.07
"2673","Dept_K","Travel",3677.5
"2674","Dept_K","Travel",3760.73
"2675","Dept_K","Travel",5781.3
"2676","Dept_K","Travel",4232.67
"2677","Dept_K","Travel",1641.18
"2678","Dept_K","Travel",3902.65
"2679","Dept_K","Travel",4016.57
"2680","Dept_K","Travel",3495.77
"2681","Dept_K","Travel",3602
"2682","Dept_K","Travel",2238.74
"2683","Dept_K","Travel",2.5
"2684","Dept_K","Travel",3430.42
"2685","Dept_K","Travel",1065.86
"2686","Dept_K","Travel",7279
"2687","Dept_K","Travel",3577.85
"2688","Dept_K","Travel",3167.42
"2689","Dept_K","Travel",3683.28
"2690","Dept_K","Travel",4254.18
"2691","Dept_K","Travel",3273.48
"2692","Dept_K","Travel",3565.38
"2693","Dept_K","Travel",7.5
"2694","Dept_K","Travel",869.92
"2695","Dept_K","Travel",2.5
"2696","Dept_K","Travel",921.37
"2697","Dept_K","Travel",5238.42
"2698","Dept_K","Travel",4332.89
"2699","Dept_K","Travel",4362.21
"2700","Dept_K","Travel",1690.3
"2701","Dept_K","Travel",7755.8
"2702","Dept_K","Travel",3112.82
"2703","Dept_K","Travel",1047.43
"2704","Dept_K","Travel",3141.49
"2705","Dept_K","Travel",3155.07
"2706","Dept_K","Travel",3096.82
"2707","Dept_K","Travel",3090.02
"2708","Dept_K","Travel",3550.47
"2709","Dept_K","Travel",5541.83
"2710","Dept_K","Travel",7647.99
"2711","Dept_K","Travel",4086.8
"2712","Dept_K","Travel",3131.81
"2713","Dept_K","Travel",7.5
"2714","Dept_K","Travel",950.37
"2715","Dept_K","Travel",3706.59
"2716","Dept_K","Travel",3562.58
"2717","Dept_K","Travel",3541.6
"2718","Dept_K","Travel",2546.69
"2719","Dept_K","Travel",3262.1
"2720","Dept_K","Travel",1884.56
"2721","Dept_K","Travel",4228.24
"2722","Dept_K","Travel",3296.12
"2723","Dept_K","Travel",5806.08
"2724","Dept_K","Travel",4120.46
"2725","Dept_K","Travel",4224.03
"2726","Dept_K","Travel",4289.05
"2727","Dept_K","Travel",2998.93
"2728","Dept_K","Travel",3611
"2729","Dept_K","Travel",3424.45
"2730","Dept_K","Travel",3825.19
"2731","Dept_K","Travel",3560.42
"2732","Dept_K","Travel",4218.85
"2733","Dept_K","Travel",5263.26
"2734","Dept_K","Travel",4262.56
"2735","Dept_K","Travel",6849.63
"2736","Dept_K","Travel",3938.68
"2737","Dept_K","Travel",3438.64
"2738","Dept_K","Travel",4195.07
"2739","Dept_K","Travel",3985.84
"2740","Dept_K","Travel",3525.08
"2741","Dept_K","Travel",3533.59
"2742","Dept_K","Travel",3583.94
"2743","Dept_K","Travel",8247.12
"2744","Dept_K","Travel",4147.6
"2745","Dept_K","Travel",4019.33
"2746","Dept_K","Travel",1639.31
"2747","Dept_K","Travel",3494.15
"2748","Dept_K","Travel",4283.08
"2749","Dept_K","Travel",1892.57
"2750","Dept_K","Travel",1572
"2751","Dept_K","Travel",2998.68
"2752","Dept_K","Travel",3867.28
"2753","Dept_K","Travel",3166.24
"2754","Dept_K","Travel",4258.45
"2755","Dept_K","Travel",3227.22
"2756","Dept_K","Travel",4465.99
"2757","Dept_K","Travel",2835.94
"2758","Dept_K","Travel",5175.53
"2759","Dept_K","Travel",3266.22
"2760","Dept_K","Travel",3013.69
"2761","Dept_K","Travel",3923.45
"2762","Dept_K","Travel",8189.31
"2763","Dept_K","Travel",3651.08
"2764","Dept_K","Travel",2343.83
"2765","Dept_K","Travel",3094.29
"2766","Dept_K","Travel",4018
"2767","Dept_K","Travel",3046.56
"2768","Dept_K","Travel",0.01
"2769","Dept_K","Travel",1005.93
"2770","Dept_K","Travel",3651.7
"2771","Dept_H","G_Invoice",3350
"2772","Dept_H","G_Invoice",3350
"2773","Dept_A","G_Invoice",22887
"2774","Dept_J","MORD",2650
"2775","Dept_A","MORD",105
"2776","Dept_A","MORD",105
"2777","Dept_A","MORD",210
"2778","Dept_G","MORD",239.8
"2779","Dept_Q","MORD",242.72
"2780","Dept_G","MORD",250
"2781","Dept_F","MORD",400
"2782","Dept_N","MORD",500
"2783","Dept_S","MORD",500
"2784","Dept_S","MORD",500
"2785","Dept_S","MORD",500
"2786","Dept_S","MORD",0
"2787","Dept_S","MORD",500
"2788","Dept_S","MORD",500
"2789","Dept_S","MORD",500
"2790","Dept_S","MORD",500
"2791","Dept_S","MORD",500
"2792","Dept_S","MORD",500
"2793","Dept_S","MORD",500
"2794","Dept_S","MORD",500
"2795","Dept_S","MORD",500
"2796","Dept_S","MORD",500
"2797","Dept_E","MORD",500
"2798","Dept_E","MORD",500
"2799","Dept_E","MORD",500
"2800","Dept_E","MORD",500
"2801","Dept_I","MORD",500
"2802","Dept_R","MORD",670.9
"2803","Dept_G","MORD",744
"2804","Dept_P","MORD",750
"2805","Dept_P","MORD",980
"2806","Dept_S","MORD",1000
"2807","Dept_S","MORD",1000
"2808","Dept_A","MORD",1000
"2809","Dept_P","MORD",1000
"2810","Dept_P","MORD",1000
"2811","Dept_K","MORD",1000
"2812","Dept_S","MORD",1200
"2813","Dept_G","MORD",1436.5
"2814","Dept_J","MORD",1487.92
"2815","Dept_S","MORD",1500
"2816","Dept_S","MORD",1500
"2817","Dept_S","MORD",1500
"2818","Dept_S","MORD",1500
"2819","Dept_J","MORD",1500
"2820","Dept_S","MORD",1630
"2821","Dept_Q","MORD",1636.64
"2822","Dept_Q","MORD",1636.64
"2823","Dept_K","MORD",1698
"2824","Dept_S","MORD",1750
"2825","Dept_I","MORD",1790.24
"2826","Dept_N","MORD",1795
"2827","Dept_S","MORD",2000
"2828","Dept_S","MORD",2000
"2829","Dept_S","MORD",2010
"2830","Dept_G","MORD",2051
"2831","Dept_S","MORD",2200
"2832","Dept_K","MORD",2200
"2833","Dept_S","MORD",2250
"2834","Dept_K","MORD",2452
"2835","Dept_S","MORD",2500
"2836","Dept_S","MORD",2500
"2837","Dept_S","MORD",2500
"2838","Dept_S","MORD",2500
"2839","Dept_S","MORD",2500
"2840","Dept_S","MORD",2500
"2841","Dept_S","MORD",2500
"2842","Dept_S","MORD",2500
"2843","Dept_S","MORD",2500
"2844","Dept_S","MORD",2500
"2845","Dept_V","MORD",2500
"2846","Dept_J","MORD",2550
"2847","Dept_J","MORD",2550
"2848","Dept_J","MORD",2550
"2849","Dept_G","MORD",2704
"2850","Dept_S","MORD",2800
"2851","Dept_J","MORD",2822.5
"2852","Dept_J","MORD",2987
"2853","Dept_J","MORD",2987
"2854","Dept_J","MORD",2987
"2855","Dept_S","MORD",3000
"2856","Dept_N","MORD",3045
"2857","Dept_G","MORD",3066
"2858","Dept_S","MORD",3100
"2859","Dept_J","MORD",3475
"2860","Dept_K","MORD",3662
"2861","Dept_G","MORD",4257
"2862","Dept_S","MORD",4500
"2863","Dept_K","MORD",4650
"2864","Dept_S","MORD",5000
"2865","Dept_S","MORD",5000
"2866","Dept_G","MORD",5000
"2867","Dept_A","MORD",5000
"2868","Dept_J","MORD",5674.65
"2869","Dept_S","MORD",6150
"2870","Dept_I","MORD",6396.5
"2871","Dept_S","MORD",7350
"2872","Dept_S","MORD",9200
"2873","Dept_Q","MORD",0
"2874","Dept_S","MORD",10178
"2875","Dept_H","MORD",11848.45
"2876","Dept_S","MORD",16460
"2877","Dept_H","MORD",17033.1
"2878","Dept_S","MORD",18000
"2879","Dept_J","MORD",19300
"2880","Dept_T","MORD",20000
"2881","Dept_S","MORD",20468
"2882","Dept_E","MORD",22692.9
"2883","Dept_G","MORD",23123
"2884","Dept_H","MORD",24245.5
"2885","Dept_A","MORD",28000
"2886","Dept_A","MORD",30000
"2887","Dept_G","MORD",30512
"2888","Dept_G","MORD",32240
"2889","Dept_G","MORD",34602
"2890","Dept_A","MORD",35000
"2891","Dept_V","MORD",39648.37
"2892","Dept_A","MORD",40000
"2893","Dept_A","MORD",40000
"2894","Dept_G","MORD",41159.73
"2895","Dept_D","MORD",41836.05
"2896","Dept_S","MORD",50000
"2897","Dept_E","MORD",8152.8
"2898","Dept_H","MORD",52494.48
"2899","Dept_A","MORD",57500
"2900","Dept_P","MORD",57652
"2901","Dept_P","MORD",160004.6
"2902","Dept_P","MORD",165032
"2903","Dept_S","MORD",178000
"2904","Dept_S","MORD",199163.3
"2905","Dept_S","MORD",205000
"2906","Dept_E","MORD",281847.25
"2907","Dept_A","MORD",350000
"2908","Dept_E","MORD",5e+05
"2909","Dept_E","MORD",1054000
"2910","Dept_R","Reim",65.1
"2911","Dept_A","Reim",186.28
"2912","Dept_B","Reim",194.16
"2913","Dept_P","Reim",200
"2914","Dept_Q","Reim",255.56
"2915","Dept_A","Reim",369.7
"2916","Dept_A","Reim",477.61
"2917","Dept_A","Reim",501.26
"2918","Dept_U","Reim",601.99
"2919","Dept_A","Reim",928.48
"2920","Dept_A","Reim",1138.34
"2921","Dept_A","Reim",1285.92
"2922","Dept_A","Reim",1417.58
"2923","Dept_A","Reim",1478.13
"2924","Dept_R","Reim",1488.15
"2925","Dept_A","Reim",1518.05
"2926","Dept_A","Reim",1613.79
"2927","Dept_A","Reim",2305.65
"2928","Dept_A","Reim",2554.26
"2929","Dept_A","Reim",2688.69
"2930","Dept_A","Reim",3163.1
"2931","Dept_C","Reim",3315
"2932","Dept_C","Reim",3315
"2933","Dept_A","Reim",3408.5
"2934","Dept_C","Reim",3565
"2935","Dept_A","Reim",3631.77
"2936","Dept_M","Reim",3559.48
"2937","Dept_C","Reim",3885
"2938","Dept_C","Reim",3886
"2939","Dept_A","Reim",4000
"2940","Dept_Q","Reim",4412.2
"2941","Dept_A","Reim",4679.36
"2942","Dept_C","Reim",5065
"2943","Dept_M","Reim",4894.3
"2944","Dept_A","Reim",6790.16
"2945","Dept_M","Reim",6863.02
"2946","Dept_A","Reim",6948.66
"2947","Dept_A","Reim",7982.91
"2948","Dept_A","Reim",8403.44
"2949","Dept_A","Reim",8419.8
"2950","Dept_A","Reim",8572.05
"2951","Dept_B","Reim",8946
"2952","Dept_A","Reim",9182.45
"2953","Dept_A","Reim",9540.22
"2954","Dept_A","Reim",10028.07
"2955","Dept_A","Reim",10067.76
"2956","Dept_A","Reim",10080.84
"2957","Dept_C","Reim",10522.16
"2958","Dept_Q","Reim",10759
"2959","Dept_A","Reim",10981.09
"2960","Dept_A","Reim",12272.98
"2961","Dept_A","Reim",13088.33
"2962","Dept_V","Reim",16000
"2963","Dept_A","Reim",16351.03
"2964","Dept_L","Reim",18269.02
"2965","Dept_I","Reim",21200
"2966","Dept_L","Reim",24295.2
"2967","Dept_B","Reim",25000
"2968","Dept_M","Reim",27000
"2969","Dept_M","Reim",30000
"2970","Dept_B","Reim",30000
"2971","Dept_X","Reim",30375.98
"2972","Dept_C","Reim",30668.38
"2973","Dept_P","Reim",31800
"2974","Dept_H","Reim",32860
"2975","Dept_Y","Reim",35000
"2976","Dept_G","Reim",27970.75
"2977","Dept_B","Reim",40000
"2978","Dept_B","Reim",55000
"2979","Dept_D","Reim",59388.23
"2980","Dept_B","Reim",60000
"2981","Dept_K","Reim",63612.66
"2982","Dept_M","Reim",68331.77
"2983","Dept_E","Reim",75000
"2984","Dept_D","Reim",116441.9
"2985","Dept_R","Reim",123693.4
"2986","Dept_M","Reim",131528.95
"2987","Dept_D","Reim",135715.4
"2988","Dept_D","Reim",161407.26
"2989","Dept_B","Reim",180000
"2990","Dept_B","Reim",181290.04
"2991","Dept_L","Reim",195887.1
"2992","Dept_M","Reim",2e+05
"2993","Dept_D","Reim",255000
"2994","Dept_L","Reim",330635.2
"2995","Dept_L","Reim",335177.3
"2996","Dept_L","Reim",413362.61
"2997","Dept_L","Reim",441129.46
"2998","Dept_L","Reim",458904.89
"2999","Dept_D","Reim",459839.76
"3000","Dept_M","Reim",622347.6
"3001","Dept_R","Reim",622892.25
"3002","Dept_D","Reim",625569
"3003","Dept_M","Reim",891870
"3004","Dept_C","Reim",1180000
"3005","Dept_D","Reim",1293405.96
"3006","Dept_Y","Reim",1331007.93
"3007","Dept_Y","Reim",5e+05
"3008","Dept_R","Reim",1719211.34
"3009","Dept_D","Reim",3233524.88
"3010","Dept_Y","Reim",4e+06
"3011","Dept_S","Cost Distro",-108000
"3012","Dept_G","Cost Distro",-34602
"3013","Dept_D","Cost Distro",-5985
"3014","Dept_D","Cost Distro",5985
"3015","Dept_G","Cost Distro",-16142.88
"3016","Dept_G","Cost Distro",-4166.07
"3017","Dept_G","Cost Distro",-24969.27
"3018","Dept_D","Cost Distro",-13841.44
"3019","Dept_D","Cost Distro",13841.44
"3020","Dept_D","Cost Distro",-13841.44
"3021","Dept_D","Cost Distro",13841.44
"3022","Dept_H","Cost Distro",-43184.13
"3023","Dept_G","Cost Distro",-189868.76
